Using cpu device
Wrapping the env with a `Monitor` wrapper
Wrapping the env in a DummyVecEnv.
Starting learn iteration 1
Logging to runs/8n08v5nr\runs/8n08v5nr_0
[2K---------------------------------━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━[0m [32m1,888/3,000,000 [0m [ [33m0:00:01[0m < [36m0:26:46[0m , [31m1,868 it/s[0m ]
| rollout/           |          |
|    ep_len_mean     | 1e+03    |
|    ep_rew_mean     | -295     |
| time/              |          |
|    fps             | 1766     |
|    iterations      | 1        |
|    time_elapsed    | 1        |
|    total_timesteps | 2048     |
---------------------------------
[2K-------------------------------------------━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━[0m [32m3,945/3,000,000 [0m [ [33m0:00:02[0m < [36m0:28:31[0m , [31m1,752 it/s[0m ]
| rollout/                |               |
|    ep_len_mean          | 1e+03         |
|    ep_rew_mean          | -277          |
| time/                   |               |
|    fps                  | 1729          |
|    iterations           | 2             |
|    time_elapsed         | 2             |
|    total_timesteps      | 4096          |
| train/                  |               |
|    approx_kl            | 4.3766806e-05 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -4.26         |
|    explained_variance   | -0.0233       |
|    learning_rate        | 0.0003        |
|    loss                 | 10.2          |
|    n_updates            | 1             |
|    policy_gradient_loss | 0.000127      |
|    std                  | 0.999         |
|    value_loss           | 23.4          |
-------------------------------------------
[2K-------------------------------------------━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━[0m [32m6,059/3,000,000 [0m [ [33m0:00:03[0m < [36m0:28:28[0m , [31m1,754 it/s[0m ]
| rollout/                |               |
|    ep_len_mean          | 1e+03         |
|    ep_rew_mean          | -238          |
| time/                   |               |
|    fps                  | 1742          |
|    iterations           | 3             |
|    time_elapsed         | 3             |
|    total_timesteps      | 6144          |
| train/                  |               |
|    approx_kl            | 1.3416284e-05 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -4.25         |
|    explained_variance   | -0.00695      |
|    learning_rate        | 0.0003        |
|    loss                 | 8.65          |
|    n_updates            | 2             |
|    policy_gradient_loss | 6.38e-05      |
|    std                  | 0.999         |
|    value_loss           | 17.7          |
-------------------------------------------
[2K-------------------------------------------━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━[0m [32m8,135/3,000,000 [0m [ [33m0:00:04[0m < [36m0:28:34[0m , [31m1,746 it/s[0m ]
| rollout/                |               |
|    ep_len_mean          | 1e+03         |
|    ep_rew_mean          | -229          |
| time/                   |               |
|    fps                  | 1737          |
|    iterations           | 4             |
|    time_elapsed         | 4             |
|    total_timesteps      | 8192          |
| train/                  |               |
|    approx_kl            | 1.0207616e-05 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -4.25         |
|    explained_variance   | -0.00328      |
|    learning_rate        | 0.0003        |
|    loss                 | 2.92          |
|    n_updates            | 3             |
|    policy_gradient_loss | 1.2e-05       |
|    std                  | 0.999         |
|    value_loss           | 6.55          |
-------------------------------------------
[2K------------------------------------------━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━[0m [32m10,098/3,000,000 [0m [ [33m0:00:05[0m < [36m0:28:23[0m , [31m1,756 it/s[0m ]
| rollout/                |              |
|    ep_len_mean          | 1e+03        |
|    ep_rew_mean          | -211         |
| time/                   |              |
|    fps                  | 1747         |
|    iterations           | 5            |
|    time_elapsed         | 5            |
|    total_timesteps      | 10240        |
| train/                  |              |
|    approx_kl            | 7.337745e-06 |
|    clip_fraction        | 0            |
|    clip_range           | 0.2          |
|    entropy_loss         | -4.25        |
|    explained_variance   | -0.00668     |
|    learning_rate        | 0.0003       |
|    loss                 | 5.23         |
|    n_updates            | 4            |
|    policy_gradient_loss | -0.000192    |
|    std                  | 0.998        |
|    value_loss           | 10.7         |
------------------------------------------
