Using cpu device
Wrapping the env with a `Monitor` wrapper
Wrapping the env in a DummyVecEnv.
Starting learn iteration 1
Logging to runs/wixb5417\runs/wixb5417_0
[2K---------------------------------━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━[0m [32m1,885/3,000,000 [0m [ [33m0:00:00[0m < [36m0:24:45[0m , [31m2,019 it/s[0m ]
| rollout/           |          |
|    ep_len_mean     | 1e+03    |
|    ep_rew_mean     | -206     |
| time/              |          |
|    fps             | 1970     |
|    iterations      | 1        |
|    time_elapsed    | 1        |
|    total_timesteps | 2048     |
---------------------------------
[2K-------------------------------------------━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━[0m [32m3,914/3,000,000 [0m [ [33m0:00:02[0m < [36m0:26:09[0m , [31m1,910 it/s[0m ]
| rollout/                |               |
|    ep_len_mean          | 1e+03         |
|    ep_rew_mean          | -250          |
| time/                   |               |
|    fps                  | 1906          |
|    iterations           | 2             |
|    time_elapsed         | 2             |
|    total_timesteps      | 4096          |
| train/                  |               |
|    approx_kl            | 2.3453089e-05 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -4.26         |
|    explained_variance   | -0.0348       |
|    learning_rate        | 0.0003        |
|    loss                 | 6.14          |
|    n_updates            | 1             |
|    policy_gradient_loss | 5.04e-05      |
|    std                  | 1             |
|    value_loss           | 12.5          |
-------------------------------------------
[2K------------------------------------------━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━[0m [32m5,833/3,000,000 [0m [ [33m0:00:03[0m < [36m0:25:49[0m , [31m1,933 it/s[0m ]
| rollout/                |              |
|    ep_len_mean          | 1e+03        |
|    ep_rew_mean          | -268         |
| time/                   |              |
|    fps                  | 1936         |
|    iterations           | 3            |
|    time_elapsed         | 3            |
|    total_timesteps      | 6144         |
| train/                  |              |
|    approx_kl            | 9.582087e-06 |
|    clip_fraction        | 0            |
|    clip_range           | 0.2          |
|    entropy_loss         | -4.26        |
|    explained_variance   | 0.0253       |
|    learning_rate        | 0.0003       |
|    loss                 | 11.2         |
|    n_updates            | 2            |
|    policy_gradient_loss | -2.44e-05    |
|    std                  | 1            |
|    value_loss           | 23.4         |
------------------------------------------
[2K-------------------------------------------━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━[0m [32m7,984/3,000,000 [0m [ [33m0:00:04[0m < [36m0:25:35[0m , [31m1,950 it/s[0m ]
| rollout/                |               |
|    ep_len_mean          | 1e+03         |
|    ep_rew_mean          | -239          |
| time/                   |               |
|    fps                  | 1946          |
|    iterations           | 4             |
|    time_elapsed         | 4             |
|    total_timesteps      | 8192          |
| train/                  |               |
|    approx_kl            | 2.7468777e-06 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -4.26         |
|    explained_variance   | -0.0184       |
|    learning_rate        | 0.0003        |
|    loss                 | 12.1          |
|    n_updates            | 3             |
|    policy_gradient_loss | 2.45e-05      |
|    std                  | 0.999         |
|    value_loss           | 23.7          |
-------------------------------------------
[2K-------------------------------------------━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━[0m [32m10,121/3,000,000 [0m [ [33m0:00:05[0m < [36m0:25:33[0m , [31m1,951 it/s[0m ]m ]
| rollout/                |               |
|    ep_len_mean          | 1e+03         |
|    ep_rew_mean          | -236          |
| time/                   |               |
|    fps                  | 1943          |
|    iterations           | 5             |
|    time_elapsed         | 5             |
|    total_timesteps      | 10240         |
| train/                  |               |
|    approx_kl            | 1.5239377e-05 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -4.25         |
|    explained_variance   | 0.0773        |
|    learning_rate        | 0.0003        |
|    loss                 | 2.85          |
|    n_updates            | 4             |
|    policy_gradient_loss | 1.12e-05      |
|    std                  | 0.999         |
|    value_loss           | 6.05          |
-------------------------------------------
[2K-------------------------------------------━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━[0m [32m12,187/3,000,000 [0m [ [33m0:00:06[0m < [36m0:25:41[0m , [31m1,940 it/s[0m ]
| rollout/                |               |
|    ep_len_mean          | 1e+03         |
|    ep_rew_mean          | -231          |
| time/                   |               |
|    fps                  | 1936          |
|    iterations           | 6             |
|    time_elapsed         | 6             |
|    total_timesteps      | 12288         |
| train/                  |               |
|    approx_kl            | 5.4707925e-06 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -4.25         |
|    explained_variance   | -0.0299       |
|    learning_rate        | 0.0003        |
|    loss                 | 6.21          |
|    n_updates            | 5             |
|    policy_gradient_loss | 2.38e-05      |
|    std                  | 0.999         |
|    value_loss           | 12.8          |
-------------------------------------------
[2K-------------------------------------------━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━[0m [32m13,992/3,000,000 [0m [ [33m0:00:07[0m < [36m0:25:51[0m , [31m1,925 it/s[0m ]
| rollout/                |               |
|    ep_len_mean          | 1e+03         |
|    ep_rew_mean          | -239          |
| time/                   |               |
|    fps                  | 1921          |
|    iterations           | 7             |
|    time_elapsed         | 7             |
|    total_timesteps      | 14336         |
| train/                  |               |
|    approx_kl            | 4.3938635e-06 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -4.25         |
|    explained_variance   | 0.137         |
|    learning_rate        | 0.0003        |
|    loss                 | 5.22          |
|    n_updates            | 6             |
|    policy_gradient_loss | -5.19e-05     |
|    std                  | 0.999         |
|    value_loss           | 11.4          |
-------------------------------------------
[2K------------------------------------------━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━[0m [32m16,205/3,000,000 [0m [ [33m0:00:08[0m < [36m0:25:57[0m , [31m1,917 it/s[0m ]
| rollout/                |              |
|    ep_len_mean          | 1e+03        |
|    ep_rew_mean          | -240         |
| time/                   |              |
|    fps                  | 1914         |
|    iterations           | 8            |
|    time_elapsed         | 8            |
|    total_timesteps      | 16384        |
| train/                  |              |
|    approx_kl            | 8.581614e-06 |
|    clip_fraction        | 0            |
|    clip_range           | 0.2          |
|    entropy_loss         | -4.26        |
|    explained_variance   | -0.0122      |
|    learning_rate        | 0.0003       |
|    loss                 | 8.28         |
|    n_updates            | 7            |
|    policy_gradient_loss | -6.24e-05    |
|    std                  | 1            |
|    value_loss           | 18.9         |
------------------------------------------
[2K------------------------------------------━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━[0m [32m18,146/3,000,000 [0m [ [33m0:00:09[0m < [36m0:26:15[0m , [31m1,894 it/s[0m ]
| rollout/                |              |
|    ep_len_mean          | 1e+03        |
|    ep_rew_mean          | -241         |
| time/                   |              |
|    fps                  | 1891         |
|    iterations           | 9            |
|    time_elapsed         | 9            |
|    total_timesteps      | 18432        |
| train/                  |              |
|    approx_kl            | 1.543283e-05 |
|    clip_fraction        | 0            |
|    clip_range           | 0.2          |
|    entropy_loss         | -4.26        |
|    explained_variance   | -0.228       |
|    learning_rate        | 0.0003       |
|    loss                 | 5.64         |
|    n_updates            | 8            |
|    policy_gradient_loss | -6.11e-05    |
|    std                  | 1            |
|    value_loss           | 13.4         |
------------------------------------------
[2K------------------------------------------━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━[0m [32m20,398/3,000,000 [0m [ [33m0:00:10[0m < [36m0:26:27[0m , [31m1,878 it/s[0m ]
| rollout/                |              |
|    ep_len_mean          | 1e+03        |
|    ep_rew_mean          | -241         |
| time/                   |              |
|    fps                  | 1875         |
|    iterations           | 10           |
|    time_elapsed         | 10           |
|    total_timesteps      | 20480        |
| train/                  |              |
|    approx_kl            | 8.701725e-06 |
|    clip_fraction        | 0            |
|    clip_range           | 0.2          |
|    entropy_loss         | -4.26        |
|    explained_variance   | -0.145       |
|    learning_rate        | 0.0003       |
|    loss                 | 6.09         |
|    n_updates            | 9            |
|    policy_gradient_loss | -3.67e-05    |
|    std                  | 1            |
|    value_loss           | 15.8         |
------------------------------------------
[2K-------------------------------------------━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━[0m [32m22,354/3,000,000 [0m [ [33m0:00:11[0m < [36m0:26:33[0m , [31m1,869 it/s[0m ]
| rollout/                |               |
|    ep_len_mean          | 1e+03         |
|    ep_rew_mean          | -234          |
| time/                   |               |
|    fps                  | 1868          |
|    iterations           | 11            |
|    time_elapsed         | 12            |
|    total_timesteps      | 22528         |
| train/                  |               |
|    approx_kl            | 3.3550605e-06 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -4.26         |
|    explained_variance   | -0.0354       |
|    learning_rate        | 0.0003        |
|    loss                 | 8.77          |
|    n_updates            | 10            |
|    policy_gradient_loss | 1.51e-05      |
|    std                  | 0.999         |
|    value_loss           | 18.4          |
-------------------------------------------
[2K-------------------------------------------━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━[0m [32m24,346/3,000,000 [0m [ [33m0:00:13[0m < [36m0:26:34[0m , [31m1,868 it/s[0m ]
| rollout/                |               |
|    ep_len_mean          | 1e+03         |
|    ep_rew_mean          | -238          |
| time/                   |               |
|    fps                  | 1867          |
|    iterations           | 12            |
|    time_elapsed         | 13            |
|    total_timesteps      | 24576         |
| train/                  |               |
|    approx_kl            | 2.8785726e-06 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -4.25         |
|    explained_variance   | 0.197         |
|    learning_rate        | 0.0003        |
|    loss                 | 1.81          |
|    n_updates            | 11            |
|    policy_gradient_loss | 8.81e-05      |
|    std                  | 0.999         |
|    value_loss           | 4.85          |
-------------------------------------------
[2K-------------------------------------------5;237m━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━[0m [32m26,370/3,000,000 [0m [ [33m0:00:14[0m < [36m0:26:34[0m , [31m1,866 it/s[0m ]
| rollout/                |               |
|    ep_len_mean          | 1e+03         |
|    ep_rew_mean          | -251          |
| time/                   |               |
|    fps                  | 1865          |
|    iterations           | 13            |
|    time_elapsed         | 14            |
|    total_timesteps      | 26624         |
| train/                  |               |
|    approx_kl            | 1.3054145e-05 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -4.26         |
|    explained_variance   | 0.103         |
|    learning_rate        | 0.0003        |
|    loss                 | 6.53          |
|    n_updates            | 12            |
|    policy_gradient_loss | -4.97e-05     |
|    std                  | 1             |
|    value_loss           | 16.2          |
-------------------------------------------
[2K-------------------------------------------5;237m━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━[0m [32m28,409/3,000,000 [0m [ [33m0:00:15[0m < [36m0:26:33[0m , [31m1,866 it/s[0m ]
| rollout/                |               |
|    ep_len_mean          | 1e+03         |
|    ep_rew_mean          | -248          |
| time/                   |               |
|    fps                  | 1867          |
|    iterations           | 14            |
|    time_elapsed         | 15            |
|    total_timesteps      | 28672         |
| train/                  |               |
|    approx_kl            | 2.6950438e-06 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -4.26         |
|    explained_variance   | 0.000392      |
|    learning_rate        | 0.0003        |
|    loss                 | 12.4          |
|    n_updates            | 13            |
|    policy_gradient_loss | 9.27e-06      |
|    std                  | 1             |
|    value_loss           | 29.5          |
-------------------------------------------
[2K-----------------------------------------8;5;237m━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━[0m [32m30,533/3,000,000 [0m [ [33m0:00:16[0m < [36m0:26:26[0m , [31m1,873 it/s[0m ]
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | -243        |
| time/                   |             |
|    fps                  | 1872        |
|    iterations           | 15          |
|    time_elapsed         | 16          |
|    total_timesteps      | 30720       |
| train/                  |             |
|    approx_kl            | 4.08935e-06 |
|    clip_fraction        | 0           |
|    clip_range           | 0.2         |
