Using cpu device
Wrapping the env with a `Monitor` wrapper
Wrapping the env in a DummyVecEnv.
Starting learn iteration 1
Logging to runs/sqbcvqea\runs/sqbcvqea_0
[2K---------------------------------━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━[0m [32m1,824/3,000,000 [0m [ [33m0:00:00[0m < [36m0:25:16[0m , [31m1,978 it/s[0m ]
| rollout/           |          |
|    ep_len_mean     | 1e+03    |
|    ep_rew_mean     | -311     |
| time/              |          |
|    fps             | 1918     |
|    iterations      | 1        |
|    time_elapsed    | 1        |
|    total_timesteps | 2048     |
---------------------------------
[2K-------------------------------------------━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━[0m [32m3,788/3,000,000 [0m [ [33m0:00:02[0m < [36m0:26:53[0m , [31m1,859 it/s[0m ]
| rollout/                |               |
|    ep_len_mean          | 1e+03         |
|    ep_rew_mean          | -238          |
| time/                   |               |
|    fps                  | 1848          |
|    iterations           | 2             |
|    time_elapsed         | 2             |
|    total_timesteps      | 4096          |
| train/                  |               |
|    approx_kl            | 1.0683172e-05 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -4.26         |
|    explained_variance   | -0.0295       |
|    learning_rate        | 0.0003        |
|    loss                 | 13.3          |
|    n_updates            | 1             |
|    policy_gradient_loss | 0.000121      |
|    std                  | 0.999         |
|    value_loss           | 28.1          |
-------------------------------------------
[2K------------------------------------------━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━[0m [32m5,805/3,000,000 [0m [ [33m0:00:03[0m < [36m0:27:04[0m , [31m1,844 it/s[0m ]
| rollout/                |              |
|    ep_len_mean          | 1e+03        |
|    ep_rew_mean          | -248         |
| time/                   |              |
|    fps                  | 1833         |
|    iterations           | 3            |
|    time_elapsed         | 3            |
|    total_timesteps      | 6144         |
| train/                  |              |
|    approx_kl            | 4.220725e-06 |
|    clip_fraction        | 0            |
|    clip_range           | 0.2          |
|    entropy_loss         | -4.25        |
|    explained_variance   | -0.00842     |
|    learning_rate        | 0.0003       |
|    loss                 | 4.73         |
|    n_updates            | 2            |
|    policy_gradient_loss | 8.76e-05     |
|    std                  | 0.999        |
|    value_loss           | 9.11         |
------------------------------------------
[2K-------------------------------------------━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━[0m [32m8,019/3,000,000 [0m [ [33m0:00:04[0m < [36m0:27:04[0m , [31m1,843 it/s[0m ]
| rollout/                |               |
|    ep_len_mean          | 1e+03         |
|    ep_rew_mean          | -229          |
| time/                   |               |
|    fps                  | 1835          |
|    iterations           | 4             |
|    time_elapsed         | 4             |
|    total_timesteps      | 8192          |
| train/                  |               |
|    approx_kl            | 7.2002003e-06 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -4.25         |
|    explained_variance   | -0.0259       |
|    learning_rate        | 0.0003        |
|    loss                 | 9.12          |
|    n_updates            | 3             |
|    policy_gradient_loss | 4.37e-05      |
|    std                  | 0.999         |
|    value_loss           | 18.3          |
-------------------------------------------
[2K------------------------------------------━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━[0m [32m9,868/3,000,000 [0m [ [33m0:00:05[0m < [36m0:27:07[0m , [31m1,839 it/s[0m ]
| rollout/                |              |
|    ep_len_mean          | 1e+03        |
|    ep_rew_mean          | -226         |
| time/                   |              |
|    fps                  | 1836         |
|    iterations           | 5            |
|    time_elapsed         | 5            |
|    total_timesteps      | 10240        |
| train/                  |              |
|    approx_kl            | 8.299481e-06 |
|    clip_fraction        | 0            |
|    clip_range           | 0.2          |
|    entropy_loss         | -4.25        |
|    explained_variance   | -0.0123      |
|    learning_rate        | 0.0003       |
|    loss                 | 4.5          |
|    n_updates            | 4            |
|    policy_gradient_loss | 0.00011      |
|    std                  | 0.999        |
|    value_loss           | 8.76         |
------------------------------------------
[2K------------------------------------------━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━[0m [32m12,288/3,000,000 [0m [ [33m0:00:07[0m < [36m0:29:58[0m , [31m1,662 it/s[0m ]
| rollout/                |              |
|    ep_len_mean          | 1e+03        |
|    ep_rew_mean          | -227         |
| time/                   |              |
|    fps                  | 1656         |
|    iterations           | 6            |
|    time_elapsed         | 7            |
|    total_timesteps      | 12288        |
| train/                  |              |
|    approx_kl            | 7.584109e-06 |
|    clip_fraction        | 0            |
|    clip_range           | 0.2          |
|    entropy_loss         | -4.26        |
|    explained_variance   | -0.0251      |
|    learning_rate        | 0.0003       |
|    loss                 | 5.85         |
|    n_updates            | 5            |
|    policy_gradient_loss | 1.38e-05     |
|    std                  | 1            |
|    value_loss           | 12.5         |
------------------------------------------
[2K-------------------------------------------━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━[0m [32m14,161/3,000,000 [0m [ [33m0:00:08[0m < [36m0:29:27[0m , [31m1,691 it/s[0m ]
| rollout/                |               |
|    ep_len_mean          | 1e+03         |
|    ep_rew_mean          | -220          |
| time/                   |               |
|    fps                  | 1688          |
|    iterations           | 7             |
|    time_elapsed         | 8             |
|    total_timesteps      | 14336         |
| train/                  |               |
|    approx_kl            | 2.5483605e-06 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -4.26         |
|    explained_variance   | -0.0172       |
|    learning_rate        | 0.0003        |
|    loss                 | 5.93          |
|    n_updates            | 6             |
|    policy_gradient_loss | -6.51e-05     |
|    std                  | 1             |
|    value_loss           | 12.5          |
-------------------------------------------
[2K-------------------------------------------━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━[0m [32m16,241/3,000,000 [0m [ [33m0:00:09[0m < [36m0:29:00[0m , [31m1,715 it/s[0m ]
| rollout/                |               |
|    ep_len_mean          | 1e+03         |
|    ep_rew_mean          | -220          |
| time/                   |               |
|    fps                  | 1714          |
|    iterations           | 8             |
|    time_elapsed         | 9             |
|    total_timesteps      | 16384         |
| train/                  |               |
|    approx_kl            | 3.0781666e-06 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -4.26         |
|    explained_variance   | 0.0292        |
|    learning_rate        | 0.0003        |
|    loss                 | 2.78          |
|    n_updates            | 7             |
|    policy_gradient_loss | 0.000105      |
|    std                  | 1             |
|    value_loss           | 6.15          |
-------------------------------------------
[2K------------------------------------------━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━[0m [32m18,315/3,000,000 [0m [ [33m0:00:10[0m < [36m0:28:40[0m , [31m1,734 it/s[0m ]
| rollout/                |              |
|    ep_len_mean          | 1e+03        |
|    ep_rew_mean          | -210         |
| time/                   |              |
|    fps                  | 1732         |
|    iterations           | 9            |
|    time_elapsed         | 10           |
|    total_timesteps      | 18432        |
| train/                  |              |
|    approx_kl            | 9.295618e-06 |
|    clip_fraction        | 0            |
|    clip_range           | 0.2          |
|    entropy_loss         | -4.26        |
|    explained_variance   | 0.0761       |
|    learning_rate        | 0.0003       |
|    loss                 | 4.62         |
|    n_updates            | 8            |
|    policy_gradient_loss | -1.92e-05    |
|    std                  | 1            |
|    value_loss           | 10.8         |
------------------------------------------
[2K-------------------------------------------━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━[0m [32m20,167/3,000,000 [0m [ [33m0:00:11[0m < [36m0:28:29[0m , [31m1,745 it/s[0m ]
| rollout/                |               |
|    ep_len_mean          | 1e+03         |
|    ep_rew_mean          | -209          |
| time/                   |               |
|    fps                  | 1745          |
|    iterations           | 10            |
|    time_elapsed         | 11            |
|    total_timesteps      | 20480         |
| train/                  |               |
|    approx_kl            | 2.5522837e-05 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -4.25         |
|    explained_variance   | -0.0463       |
|    learning_rate        | 0.0003        |
|    loss                 | 1.24          |
|    n_updates            | 9             |
|    policy_gradient_loss | -0.000156     |
|    std                  | 0.999         |
|    value_loss           | 3.34          |
-------------------------------------------
[2K-------------------------------------------━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━[0m [32m22,460/3,000,000 [0m [ [33m0:00:12[0m < [36m0:28:12[0m , [31m1,760 it/s[0m ]
| rollout/                |               |
|    ep_len_mean          | 1e+03         |
|    ep_rew_mean          | -203          |
| time/                   |               |
|    fps                  | 1756          |
|    iterations           | 11            |
|    time_elapsed         | 12            |
|    total_timesteps      | 22528         |
| train/                  |               |
|    approx_kl            | 3.6018318e-06 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -4.25         |
|    explained_variance   | 0.112         |
|    learning_rate        | 0.0003        |
|    loss                 | 2.92          |
|    n_updates            | 10            |
|    policy_gradient_loss | 0.000113      |
|    std                  | 0.998         |
|    value_loss           | 7.74          |
-------------------------------------------
[2K-------------------------------------------━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━[0m [32m24,489/3,000,000 [0m [ [33m0:00:13[0m < [36m0:28:04[0m , [31m1,767 it/s[0m ]
| rollout/                |               |
|    ep_len_mean          | 1e+03         |
|    ep_rew_mean          | -206          |
| time/                   |               |
|    fps                  | 1764          |
|    iterations           | 12            |
|    time_elapsed         | 13            |
|    total_timesteps      | 24576         |
| train/                  |               |
|    approx_kl            | 1.0487594e-05 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -4.25         |
|    explained_variance   | -0.177        |
|    learning_rate        | 0.0003        |
|    loss                 | 1.06          |
|    n_updates            | 11            |
|    policy_gradient_loss | 3.99e-05      |
|    std                  | 0.998         |
|    value_loss           | 3.24          |
-------------------------------------------
[2K------------------------------------------;5;237m━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━[0m [32m26,519/3,000,000 [0m [ [33m0:00:14[0m < [36m0:27:57[0m , [31m1,774 it/s[0m ]
| rollout/                |              |
|    ep_len_mean          | 1e+03        |
|    ep_rew_mean          | -207         |
| time/                   |              |
|    fps                  | 1770         |
|    iterations           | 13           |
|    time_elapsed         | 15           |
|    total_timesteps      | 26624        |
| train/                  |              |
|    approx_kl            | 3.123976e-06 |
|    clip_fraction        | 0            |
|    clip_range           | 0.2          |
|    entropy_loss         | -4.25        |
|    explained_variance   | 0.0753       |
|    learning_rate        | 0.0003       |
|    loss                 | 4.14         |
|    n_updates            | 12           |
|    policy_gradient_loss | 2.22e-05     |
|    std                  | 0.999        |
|    value_loss           | 9.17         |
------------------------------------------
[2K------------------------------------------;5;237m━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━[0m [32m28,585/3,000,000 [0m [ [33m0:00:16[0m < [36m0:27:50[0m , [31m1,780 it/s[0m ]
| rollout/                |              |
|    ep_len_mean          | 1e+03        |
|    ep_rew_mean          | -201         |
| time/                   |              |
|    fps                  | 1777         |
|    iterations           | 14           |
|    time_elapsed         | 16           |
|    total_timesteps      | 28672        |
| train/                  |              |
|    approx_kl            | 3.127294e-06 |
|    clip_fraction        | 0            |
|    clip_range           | 0.2          |
|    entropy_loss         | -4.25        |
|    explained_variance   | 0.0377       |
|    learning_rate        | 0.0003       |
|    loss                 | 3.86         |
|    n_updates            | 13           |
|    policy_gradient_loss | -9.71e-05    |
|    std                  | 0.999        |
|    value_loss           | 9.53         |
------------------------------------------
[2K-------------------------------------------5;237m━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━[0m [32m30,620/3,000,000 [0m [ [33m0:00:17[0m < [36m0:27:44[0m , [31m1,785 it/s[0m ]
| rollout/                |               |
|    ep_len_mean          | 1e+03         |
|    ep_rew_mean          | -201          |
| time/                   |               |
|    fps                  | 1783          |
|    iterations           | 15            |
|    time_elapsed         | 17            |
|    total_timesteps      | 30720         |
| train/                  |               |
|    approx_kl            | 3.3988617e-05 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -4.26         |
|    explained_variance   | -0.114        |
|    learning_rate        | 0.0003        |
|    loss                 | 0.315         |
|    n_updates            | 14            |
|    policy_gradient_loss | 0.000304      |
|    std                  | 1             |
|    value_loss           | 0.73          |
-------------------------------------------
[2K-------------------------------------------5;237m━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━[0m [32m32,636/3,000,000 [0m [ [33m0:00:18[0m < [36m0:27:39[0m , [31m1,789 it/s[0m ]
| rollout/                |               |
|    ep_len_mean          | 1e+03         |
|    ep_rew_mean          | -199          |
| time/                   |               |
|    fps                  | 1787          |
|    iterations           | 16            |
|    time_elapsed         | 18            |
|    total_timesteps      | 32768         |
| train/                  |               |
|    approx_kl            | 1.9320927e-05 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -4.26         |
|    explained_variance   | 0.00192       |
|    learning_rate        | 0.0003        |
|    loss                 | 2.37          |
|    n_updates            | 15            |
|    policy_gradient_loss | -8.26e-06     |
|    std                  | 1             |
|    value_loss           | 6.21          |
-------------------------------------------
[2K-------------------------------------------5;237m━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━[0m [32m34,677/3,000,000 [0m [ [33m0:00:19[0m < [36m0:27:34[0m , [31m1,793 it/s[0m ]
| rollout/                |               |
|    ep_len_mean          | 1e+03         |
|    ep_rew_mean          | -195          |
| time/                   |               |
|    fps                  | 1791          |
|    iterations           | 17            |
|    time_elapsed         | 19            |
|    total_timesteps      | 34816         |
| train/                  |               |
|    approx_kl            | 1.3387762e-06 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -4.26         |
|    explained_variance   | -0.162        |
|    learning_rate        | 0.0003        |
|    loss                 | 1.16          |
|    n_updates            | 16            |
|    policy_gradient_loss | -3.82e-05     |
|    std                  | 1             |
|    value_loss           | 2.4           |
-------------------------------------------
[2K------------------------------------------;5;237m━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━[0m [32m36,513/3,000,000 [0m [ [33m0:00:20[0m < [36m0:27:31[0m , [31m1,795 it/s[0m ]
| rollout/                |              |
|    ep_len_mean          | 1e+03        |
|    ep_rew_mean          | -192         |
| time/                   |              |
|    fps                  | 1795         |
|    iterations           | 18           |
|    time_elapsed         | 20           |
|    total_timesteps      | 36864        |
| train/                  |              |
|    approx_kl            | 8.044386e-06 |
|    clip_fraction        | 0            |
|    clip_range           | 0.2          |
|    entropy_loss         | -4.26        |
|    explained_variance   | 0.129        |
|    learning_rate        | 0.0003       |
|    loss                 | 0.499        |
|    n_updates            | 17           |
|    policy_gradient_loss | -0.000165    |
|    std                  | 1            |
|    value_loss           | 1.31         |
------------------------------------------
[2K-------------------------------------------5;237m━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━[0m [32m38,735/3,000,000 [0m [ [33m0:00:21[0m < [36m0:27:27[0m , [31m1,798 it/s[0m ]
| rollout/                |               |
|    ep_len_mean          | 1e+03         |
|    ep_rew_mean          | -191          |
| time/                   |               |
|    fps                  | 1796          |
|    iterations           | 19            |
|    time_elapsed         | 21            |
|    total_timesteps      | 38912         |
| train/                  |               |
|    approx_kl            | 1.0065589e-05 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -4.26         |
|    explained_variance   | 0.029         |
|    learning_rate        | 0.0003        |
|    loss                 | 0.502         |
|    n_updates            | 18            |
|    policy_gradient_loss | -6.21e-05     |
|    std                  | 1             |
|    value_loss           | 1.74          |
-------------------------------------------
