Successfully loaded plate texture: textures/_plates/038_43-13-ROOT1-2023-08-08_control_pH7_-Fe+B_col0_04-Fish Eye Corrected.png
Using cpu device
Wrapping the env with a `Monitor` wrapper
Wrapping the env in a DummyVecEnv.
Starting learn iteration 1
Logging to runs/s7y7mift\runs/s7y7mift_0
[2K---------------------------------━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━[0m [32m1,886/5,000,000 [0m [ [33m0:00:00[0m < [36m0:39:56[0m , [31m2,086 it/s[0m ]
| rollout/           |          |
|    ep_len_mean     | 1e+03    |
|    ep_rew_mean     | -179     |
| time/              |          |
|    fps             | 2006     |
|    iterations      | 1        |
|    time_elapsed    | 1        |
|    total_timesteps | 2048     |
---------------------------------
[2K-------------------------------------------━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━[0m [32m4,047/5,000,000 [0m [ [33m0:00:02[0m < [36m0:48:56[0m , [31m1,702 it/s[0m ]
| rollout/                |               |
|    ep_len_mean          | 1e+03         |
|    ep_rew_mean          | -192          |
| time/                   |               |
|    fps                  | 1699          |
|    iterations           | 2             |
|    time_elapsed         | 2             |
|    total_timesteps      | 4096          |
| train/                  |               |
|    approx_kl            | 0.00011895207 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -4.26         |
|    explained_variance   | -0.0107       |
|    learning_rate        | 3.75e-05      |
|    loss                 | 4.16          |
|    n_updates            | 10            |
|    policy_gradient_loss | -0.000509     |
|    std                  | 1             |
|    value_loss           | 8.97          |
-------------------------------------------
[2K------------------------------------------━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━[0m [32m6,002/5,000,000 [0m [ [33m0:00:03[0m < [36m0:51:16[0m , [31m1,624 it/s[0m ]
| rollout/                |              |
|    ep_len_mean          | 1e+03        |
|    ep_rew_mean          | -176         |
| time/                   |              |
|    fps                  | 1626         |
|    iterations           | 3            |
|    time_elapsed         | 3            |
|    total_timesteps      | 6144         |
| train/                  |              |
|    approx_kl            | 4.689378e-05 |
|    clip_fraction        | 0            |
|    clip_range           | 0.2          |
|    entropy_loss         | -4.26        |
|    explained_variance   | -0.0392      |
|    learning_rate        | 3.75e-05     |
|    loss                 | 8.08         |
|    n_updates            | 20           |
|    policy_gradient_loss | -0.000192    |
|    std                  | 1            |
|    value_loss           | 16           |
------------------------------------------
[2K-------------------------------------------━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━[0m [32m7,961/5,000,000 [0m [ [33m0:00:05[0m < [36m0:52:33[0m , [31m1,584 it/s[0m ]
| rollout/                |               |
|    ep_len_mean          | 1e+03         |
|    ep_rew_mean          | -163          |
| time/                   |               |
|    fps                  | 1595          |
|    iterations           | 4             |
|    time_elapsed         | 5             |
|    total_timesteps      | 8192          |
| train/                  |               |
|    approx_kl            | 0.00029948537 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -4.26         |
|    explained_variance   | 0.07          |
|    learning_rate        | 3.75e-05      |
|    loss                 | 1.96          |
|    n_updates            | 30            |
|    policy_gradient_loss | -0.000605     |
|    std                  | 1             |
|    value_loss           | 4.72          |
