Successfully loaded plate texture: textures/_plates/038_43-14-ROOT1-2023-08-08_pvdCherry_OD001_f6h1_04-Fish Eye Corrected.png
Using cpu device
Wrapping the env with a `Monitor` wrapper
Wrapping the env in a DummyVecEnv.
[34m[1mwandb[0m: [33mWARNING[0m When using several event log directories, please call `wandb.tensorboard.patch(root_logdir="...")` before `wandb.init`
Logging to runs/m85h8jqg\runs/m85h8jqg_0
[2K---------------------------------━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━[0m [32m2,018/3,000,000 [0m [ [33m0:00:01[0m < [36m0:42:13[0m , [31m1,184 it/s[0m ]
| rollout/           |          |
|    ep_len_mean     | 1e+03    |
|    ep_rew_mean     | -158     |
| time/              |          |
|    fps             | 1167     |
|    iterations      | 1        |
|    time_elapsed    | 1        |
|    total_timesteps | 2048     |
---------------------------------
[2K----------------------------------------━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━[0m [32m4,013/3,000,000 [0m [ [33m0:00:04[0m < [36m1:00:30[0m , [31m825 it/s[0m ]
| rollout/                |            |
|    ep_len_mean          | 1e+03      |
|    ep_rew_mean          | -181       |
| time/                   |            |
|    fps                  | 834        |
|    iterations           | 2          |
|    time_elapsed         | 4          |
|    total_timesteps      | 4096       |
| train/                  |            |
|    approx_kl            | 0.00621903 |
|    clip_fraction        | 0.0466     |
|    clip_range           | 0.2        |
|    entropy_loss         | -4.22      |
|    explained_variance   | 0.0434     |
|    learning_rate        | 0.000969   |
|    loss                 | 0.0016     |
|    n_updates            | 10         |
|    policy_gradient_loss | -0.00313   |
|    std                  | 0.982      |
|    value_loss           | 0.531      |
----------------------------------------
[2K----------------------------------------━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━[0m [32m6,014/3,000,000 [0m [ [33m0:00:07[0m < [36m1:05:53[0m , [31m758 it/s[0m ]
| rollout/                |            |
|    ep_len_mean          | 1e+03      |
|    ep_rew_mean          | -177       |
| time/                   |            |
|    fps                  | 767        |
|    iterations           | 3          |
|    time_elapsed         | 8          |
|    total_timesteps      | 6144       |
| train/                  |            |
|    approx_kl            | 0.00995671 |
|    clip_fraction        | 0.075      |
|    clip_range           | 0.2        |
|    entropy_loss         | -4.2       |
|    explained_variance   | 0.657      |
|    learning_rate        | 0.000969   |
|    loss                 | 0.154      |
|    n_updates            | 20         |
|    policy_gradient_loss | -0.00615   |
|    std                  | 0.981      |
|    value_loss           | 0.776      |
----------------------------------------
[2K------------------------------------------━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━[0m [32m8,153/3,000,000 [0m [ [33m0:00:10[0m < [36m1:07:30[0m , [31m739 it/s[0m ]
| rollout/                |              |
|    ep_len_mean          | 1e+03        |
|    ep_rew_mean          | -189         |
| time/                   |              |
|    fps                  | 743          |
|    iterations           | 4            |
|    time_elapsed         | 11           |
|    total_timesteps      | 8192         |
| train/                  |              |
|    approx_kl            | 0.0110128485 |
|    clip_fraction        | 0.138        |
|    clip_range           | 0.2          |
|    entropy_loss         | -4.17        |
|    explained_variance   | 0.846        |
|    learning_rate        | 0.000969     |
|    loss                 | 0.0741       |
|    n_updates            | 30           |
|    policy_gradient_loss | -0.0112      |
|    std                  | 0.961        |
|    value_loss           | 0.389        |
------------------------------------------
[2K----------------------------------------━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━[0m [32m10,133/3,000,000 [0m [ [33m0:00:13[0m < [36m1:08:40[0m , [31m726 it/s[0m ]
| rollout/                |            |
|    ep_len_mean          | 1e+03      |
|    ep_rew_mean          | -184       |
| time/                   |            |
|    fps                  | 729        |
|    iterations           | 5          |
|    time_elapsed         | 14         |
|    total_timesteps      | 10240      |
| train/                  |            |
|    approx_kl            | 0.00705917 |
|    clip_fraction        | 0.0473     |
|    clip_range           | 0.2        |
|    entropy_loss         | -4.16      |
|    explained_variance   | -0.626     |
|    learning_rate        | 0.000969   |
|    loss                 | 0.0762     |
|    n_updates            | 40         |
|    policy_gradient_loss | -0.00303   |
|    std                  | 0.979      |
|    value_loss           | 0.884      |
----------------------------------------
[2K-----------------------------------------━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━[0m [32m12,154/3,000,000 [0m [ [33m0:00:17[0m < [36m1:09:50[0m , [31m713 it/s[0m ]
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | -186        |
| time/                   |             |
|    fps                  | 718         |
|    iterations           | 6           |
|    time_elapsed         | 17          |
|    total_timesteps      | 12288       |
| train/                  |             |
|    approx_kl            | 0.010798079 |
|    clip_fraction        | 0.0832      |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.21       |
|    explained_variance   | 0.403       |
|    learning_rate        | 0.000969    |
|    loss                 | 0.231       |
|    n_updates            | 50          |
|    policy_gradient_loss | -0.00436    |
|    std                  | 0.992       |
|    value_loss           | 0.602       |
-----------------------------------------
[2K-----------------------------------------━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━[0m [32m14,154/3,000,000 [0m [ [33m0:00:20[0m < [36m1:10:49[0m , [31m703 it/s[0m ]
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | -184        |
| time/                   |             |
|    fps                  | 709         |
|    iterations           | 7           |
|    time_elapsed         | 20          |
|    total_timesteps      | 14336       |
| train/                  |             |
|    approx_kl            | 0.009602314 |
|    clip_fraction        | 0.0925      |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.24       |
|    explained_variance   | 0.892       |
|    learning_rate        | 0.000969    |
|    loss                 | 0.0707      |
|    n_updates            | 60          |
|    policy_gradient_loss | -0.00559    |
|    std                  | 1           |
|    value_loss           | 0.407       |
-----------------------------------------
[2K------------------------------------------━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━[0m [32m16,326/3,000,000 [0m [ [33m0:00:23[0m < [36m1:10:52[0m , [31m702 it/s[0m ]
| rollout/                |              |
|    ep_len_mean          | 1e+03        |
|    ep_rew_mean          | -179         |
| time/                   |              |
|    fps                  | 704          |
|    iterations           | 8            |
|    time_elapsed         | 23           |
|    total_timesteps      | 16384        |
| train/                  |              |
|    approx_kl            | 0.0118710715 |
|    clip_fraction        | 0.116        |
|    clip_range           | 0.2          |
|    entropy_loss         | -4.25        |
|    explained_variance   | 0.965        |
|    learning_rate        | 0.000969     |
|    loss                 | 0.0171       |
|    n_updates            | 70           |
|    policy_gradient_loss | -0.00814     |
|    std                  | 0.996        |
|    value_loss           | 0.15         |
------------------------------------------
[2K-----------------------------------------━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━[0m [32m18,280/3,000,000 [0m [ [33m0:00:26[0m < [36m1:11:15[0m , [31m698 it/s[0m ]
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | -187        |
| time/                   |             |
|    fps                  | 701         |
|    iterations           | 9           |
|    time_elapsed         | 26          |
|    total_timesteps      | 18432       |
| train/                  |             |
|    approx_kl            | 0.007396342 |
|    clip_fraction        | 0.0754      |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.23       |
|    explained_variance   | 0.803       |
|    learning_rate        | 0.000969    |
|    loss                 | 0.0359      |
|    n_updates            | 80          |
|    policy_gradient_loss | -0.0051     |
|    std                  | 0.985       |
|    value_loss           | 0.197       |
-----------------------------------------
[2K-----------------------------------------━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━[0m [32m20,400/3,000,000 [0m [ [33m0:00:29[0m < [36m1:11:27[0m , [31m695 it/s[0m ]
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | -185        |
| time/                   |             |
|    fps                  | 697         |
|    iterations           | 10          |
|    time_elapsed         | 29          |
|    total_timesteps      | 20480       |
| train/                  |             |
|    approx_kl            | 0.006134459 |
|    clip_fraction        | 0.0479      |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.22       |
|    explained_variance   | 0.621       |
|    learning_rate        | 0.000969    |
|    loss                 | 0.0797      |
|    n_updates            | 90          |
|    policy_gradient_loss | -0.00249    |
|    std                  | 0.99        |
|    value_loss           | 1.07        |
-----------------------------------------
[2K-----------------------------------------━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━[0m [32m22,429/3,000,000 [0m [ [33m0:00:32[0m < [36m1:11:51[0m , [31m691 it/s[0m ]
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | -187        |
| time/                   |             |
|    fps                  | 690         |
|    iterations           | 11          |
|    time_elapsed         | 32          |
|    total_timesteps      | 22528       |
| train/                  |             |
|    approx_kl            | 0.009827275 |
|    clip_fraction        | 0.0702      |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.18       |
|    explained_variance   | 0.789       |
|    learning_rate        | 0.000969    |
|    loss                 | 0.0541      |
|    n_updates            | 100         |
|    policy_gradient_loss | -0.00341    |
|    std                  | 0.964       |
|    value_loss           | 0.222       |
-----------------------------------------
[2K---------------------------------------━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━[0m [32m24,551/3,000,000 [0m [ [33m0:00:35[0m < [36m1:11:41[0m , [31m692 it/s[0m ]
| rollout/                |           |
|    ep_len_mean          | 1e+03     |
|    ep_rew_mean          | -188      |
| time/                   |           |
|    fps                  | 686       |
|    iterations           | 12        |
|    time_elapsed         | 35        |
|    total_timesteps      | 24576     |
| train/                  |           |
|    approx_kl            | 0.0056308 |
|    clip_fraction        | 0.0775    |
|    clip_range           | 0.2       |
|    entropy_loss         | -4.15     |
|    explained_variance   | 0.982     |
|    learning_rate        | 0.000969  |
|    loss                 | 0.0682    |
|    n_updates            | 110       |
|    policy_gradient_loss | -0.00669  |
|    std                  | 0.962     |
|    value_loss           | 0.397     |
---------------------------------------
[2K-----------------------------------------━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━[0m [32m26,528/3,000,000 [0m [ [33m0:00:38[0m < [36m1:11:46[0m , [31m691 it/s[0m ]
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | -187        |
| time/                   |             |
|    fps                  | 683         |
|    iterations           | 13          |
|    time_elapsed         | 38          |
|    total_timesteps      | 26624       |
| train/                  |             |
|    approx_kl            | 0.008061971 |
|    clip_fraction        | 0.0799      |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.12       |
|    explained_variance   | 0.873       |
|    learning_rate        | 0.000969    |
|    loss                 | 0.102       |
|    n_updates            | 120         |
|    policy_gradient_loss | -0.00539    |
|    std                  | 0.948       |
|    value_loss           | 0.293       |
-----------------------------------------
[2K-----------------------------------------8;5;237m━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━[0m [32m28,534/3,000,000 [0m [ [33m0:00:42[0m < [36m1:12:40[0m , [31m682 it/s[0m ]
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | -183        |
| time/                   |             |
|    fps                  | 679         |
|    iterations           | 14          |
|    time_elapsed         | 42          |
|    total_timesteps      | 28672       |
| train/                  |             |
|    approx_kl            | 0.007984871 |
|    clip_fraction        | 0.0808      |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.11       |
|    explained_variance   | 0.94        |
|    learning_rate        | 0.000969    |
|    loss                 | 0.0528      |
|    n_updates            | 130         |
|    policy_gradient_loss | -0.00542    |
|    std                  | 0.953       |
|    value_loss           | 0.165       |
-----------------------------------------
[2K-----------------------------------------8;5;237m━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━[0m [32m30,682/3,000,000 [0m [ [33m0:00:45[0m < [36m1:13:24[0m , [31m674 it/s[0m ]
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | -178        |
| time/                   |             |
|    fps                  | 675         |
|    iterations           | 15          |
|    time_elapsed         | 45          |
|    total_timesteps      | 30720       |
| train/                  |             |
|    approx_kl            | 0.008082464 |
|    clip_fraction        | 0.0876      |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.14       |
|    explained_variance   | 0.674       |
|    learning_rate        | 0.000969    |
|    loss                 | 0.141       |
|    n_updates            | 140         |
|    policy_gradient_loss | -0.0076     |
|    std                  | 0.97        |
|    value_loss           | 0.248       |
-----------------------------------------
[2K------------------------------------------;5;237m━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━[0m [32m32,664/3,000,000 [0m [ [33m0:00:48[0m < [36m1:12:50[0m , [31m679 it/s[0m ]
| rollout/                |              |
|    ep_len_mean          | 1e+03        |
|    ep_rew_mean          | -174         |
| time/                   |              |
|    fps                  | 675          |
|    iterations           | 16           |
|    time_elapsed         | 48           |
|    total_timesteps      | 32768        |
| train/                  |              |
|    approx_kl            | 0.0043255114 |
|    clip_fraction        | 0.0374       |
|    clip_range           | 0.2          |
|    entropy_loss         | -4.15        |
|    explained_variance   | 0.95         |
|    learning_rate        | 0.000969     |
